数据源	车型	品牌	汽车厂商	类型	媒体大类	媒体中类	媒体名称	折算系数	省份	城市	UD-显示屏	UD-视频/非视频	FCA_SUVSeg	FCA_Region	FCA_KeyCom	FCA_Tier	Remark	年份	月份	折算花费（万元）
CODC	奔驰A级(进口)	奔驰	奔驰(进口)	紧凑型车	户外	机场	单立柱	1.5	北京	北京	户外屏	非视频	C HATCH	BUX	None	T1		2019	4	509.85
CODC	奔驰A级(进口)	奔驰	奔驰(进口)	紧凑型车	户外	机场	灯箱_滚动	1.5	北京	北京	户外屏	非视频	C HATCH	BUX	None	T1		2019	4	169.803
CODC	奔驰A级(进口)	奔驰	奔驰(进口)	紧凑型车	户外	单一媒体	无照明广告牌	1.5	广东	广州	户外屏	非视频	C HATCH	BUX	None	T1		2019	4	124.995
CODC	奔驰A级(进口)	奔驰	奔驰(进口)	紧凑型车	户外	单一媒体	三面翻	1.5	辽宁	沈阳	户外屏	非视频	C HATCH	BUX	None	T2		2019	4	14.4
CODC	奔驰A级(进口)	奔驰	奔驰(进口)	紧凑型车	户外	单一媒体	三面翻	1.5	山西	太原	户外屏	非视频	C HATCH	BUX	None	T3		2019	4	6.0
CODC	奔驰A级(进口)	奔驰	奔驰(进口)	紧凑型车	户外	视频媒体	电子屏	0.4	辽宁	沈阳	户外屏	视频	C HATCH	BUX	None	T2		2019	4	24.0
CODC	奔驰A级(进口)	奔驰	奔驰(进口)	紧凑型车	户外	视频媒体	电子屏	0.4	天津	天津	户外屏	视频	C HATCH	BUX	None	T2		2019	4	1.496
CODC	奔驰A级(进口)	奔驰	奔驰(进口)	紧凑型车	户外	火车站	特殊位置灯箱	1.5	重庆	重庆	户外屏	非视频	C HATCH	BUX	None	T2		2019	4	15.0
CODC	凯迪拉克XT4	凯迪拉克	上汽通用凯迪拉克	紧凑型SUV	户外	机场	无照明广告牌	1.5	上海	上海	户外屏	非视频	D SUV/CUV	JV	None	T1		2019	4	86.47500000000001
CODC	凯迪拉克XT4	凯迪拉克	上汽通用凯迪拉克	紧凑型SUV	户外	机场	特殊位置灯箱	1.5	四川	成都	户外屏	非视频	D SUV/CUV	JV	None	T2		2019	4	109.41
